Species,SVL Male,SVL Female,Average SVL Adult,Egg Clutch,Average Temperature,Average Rainfall,Average Altitude,Egg Style
Leptopelis spiritusnoctis,,,,,,,,1
Leptopelis susanae,,,,,,,2480.0,1
Leptopelis uluguruensis,,,,,,,,1
Leptopelis vannutelli,,,,,,,,
Leptopelis vermiculatus,,,,,,,1350.0,1
Leptopelis viridis,,,,,,,,1
Leptopelis xenodactylus,,,,,,,1550.0,1
Leptopelis yaldeni,,,,,,,2350.0,1
Leptopelis zebra,,,,,,,,
Trichobatrachus robustus,,,,,,,742.0,
Ascaphus montanus,,,,,,,,
Ascaphus truei,,,,,12.0,1270.0,,0
Atelognathus patagonicus,,,,,,,1339.5,
Chaltenobatrachus grandisonae,,,,22.0,,,471.0,
Hylorina sylvatica,,,,,,,,
Barbourula busuangensis,,,,,,,400.0,1
Barbourula kalimantanensis,,,,,,,,
Bombina bombina,,,,300.0,,,,
Bombina microdeladigitora,,,,,,,,0
Bombina orientalis,,,,,,,900.0,
Bombina pachypus,,,,,,,,
Bombina variegata,,,48.6,,21.9,,1100.0,
Brachycephalus actaeus,,,,2.0,,,265.0,1
Brachycephalus alipioi,,,14.35,,,,1150.0,1
Brachycephalus auroguttatus,,,,,,,1085.0,
Brachycephalus boticario,,,,,,,784.0,
Brachycephalus brunneus,,,,,,,1450.0,
Brachycephalus bufonoides,13.25,13.75,,,,,1200.0,
Brachycephalus coloratus,,,,,,,1161.0,1
Brachycephalus crispus,12.2,13.75,13.0,,,,950.0,1
Brachycephalus curupira,,,,,,,1147.5,
Brachycephalus darkside,,,,,,,1350.0,1
Brachycephalus didactylus,,,,,,,400.0,1
Brachycephalus ephippium,16.26,18.11,,,15.5,,600.0,1
Brachycephalus ferruginus,,,,3.0,,,792.5,1
Brachycephalus fuscolineatus,,,,,,,660.0,
Brachycephalus garbeanus,,,,,,,1100.0,
Brachycephalus guarani,,,,,18.55,,720.0,1
Brachycephalus hermogenesi,,,,1.0,,,450.0,1
Brachycephalus izecksohni,,,,,,,1300.0,
Brachycephalus leopardus,,,,,,,1520.0,1
Brachycephalus margaritatus,,,,,,,600.0,
Brachycephalus mariaeterezae,,,,,,,1267.5,
Brachycephalus mirissimus,10.9,,,,,,505.0,1
Brachycephalus nodoterga,,,,,,,700.0,1
Brachycephalus olivaceus,,,,,,,892.5,1
Brachycephalus pernix,10.9,,,,,,,1
Brachycephalus pitanga,11.45,13.3,12.38,5.0,17.6,2180.0,904.0,
Brachycephalus pombali,,,,,,,1300.0,
Brachycephalus pulex,,,,,21.5,160.9,600.0,
Brachycephalus quiririensis,,,11.5,,,,1290.5,
Brachycephalus sulfuratus,,,,,,,500.0,
Brachycephalus toby,11.7,13.8,12.75,,15.5,,750.0,
Brachycephalus tridactylus,,,,,,,927.5,
Brachycephalus verrucosus,,,,,,,700.0,
Ischnocnema guentheri,,,,,,,,1
Ischnocnema holti,,,,,,,1750.0,1
Ischnocnema nanahallux,,,,,,,1200.0,
Balebreviceps hillmani,,,,,,,3012.5,
Breviceps adspersus,,,,,,,,1
Breviceps bagginsi,,,,,,,,
Breviceps carruthersi,,,,,,,,
Breviceps fuscus,,,,,,,500.0,
Breviceps macrops,,,,,,,,1
Breviceps ombelanonga,,30.1,26.5,,,,,
Breviceps passmorei,,,,,,,,
Breviceps rosei,,,,,,,,1
Breviceps sopranus,,,,,,,,
Breviceps sylvestris,,30.1,,,,,1300.0,1
Breviceps verrucosus,,,,,,,1000.0,
Callulina laphami,,,,,,,1806.5,1
Callulina stanleyi,,,,,,,1200.0,
Adenomus kandianus,,,,,17.8,,1439.5,0
Adenomus kelaartii,,,,,,,630.0,
Altiphrynoides malcolmi,,,,,,,3250.0,
Altiphrynoides osgoodi,,,,,,,2735.0,
Amazophrynella amazonicola,,,,,,,125.0,
Amazophrynella gardai,,,,,,,77.5,0
Amazophrynella minuta,,,,,,,150.0,1
Anaxyrus americanus,,,,,,,,0
Anaxyrus baxteri,,,,,,,2164.0,
Anaxyrus boreas,61.3,,,10.0,18.27,,1700.0,
Anaxyrus californicus,,,,,,,1220.0,
Anaxyrus canorus,,,,,17.5,,,
Anaxyrus cognatus,,,,,,,1220.0,
Anaxyrus debilis,,,,3188.0,,,1295.0,
Anaxyrus exsul,,,,,,,1615.0,
Anaxyrus fowleri,,,,3231.0,22.5,,,
Anaxyrus hemiophrys,,,,,,,,
Anaxyrus houstonensis,,,,,,,,0
Anaxyrus kelloggi,,,,,24.0,,200.0,
Anaxyrus microscaphus,,,,,,,1532.5,0
